id_paisano,desagregacion,pais_cod,encuesta,ano,flag,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2013,"Boys, mathematics",ARG,(T)ERCE,2013,"1,2",10.52767086029053,1,1,"Gender, mathematics",1,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Girls, mathematics",ARG,(T)ERCE,2013,"1,2",1.53355884552002,2,2,"Gender, mathematics",1,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Boys, language",ARG,(T)ERCE,2013,"1,2",2.487679719924927,3,3,"Gender, language",2,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Girls, language",ARG,(T)ERCE,2013,"1,2",14.92769432067871,4,4,"Gender, language",2,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Boys, mathematics",BRA,(T)ERCE,2013,"1,2",24.55537605285645,1,1,"Gender, mathematics",1,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Girls, mathematics",BRA,(T)ERCE,2013,"1,2",2.50093150138855,2,2,"Gender, mathematics",1,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Boys, language",BRA,(T)ERCE,2013,"1,2",.5549052953720093,3,3,"Gender, language",2,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Girls, language",BRA,(T)ERCE,2013,"1,2",16.97808456420898,4,4,"Gender, language",2,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Boys, mathematics",CHL,(T)ERCE,2013,"1,2",18.33395576477051,1,1,"Gender, mathematics",1,Chile,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Girls, mathematics",CHL,(T)ERCE,2013,"1,2",3.323134422302246,2,2,"Gender, mathematics",1,Chile,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Boys, language",CHL,(T)ERCE,2013,"1,2",2.296422958374023,3,3,"Gender, language",2,Chile,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Girls, language",CHL,(T)ERCE,2013,"1,2",10.74288558959961,4,4,"Gender, language",2,Chile,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Boys, mathematics",COL,(T)ERCE,2013,"1,2",8.193621635437012,1,1,"Gender, mathematics",1,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Girls, mathematics",COL,(T)ERCE,2013,"1,2",.01,2,2,"Gender, mathematics",1,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Boys, language",COL,(T)ERCE,2013,"1,2",1.193649053573608,3,3,"Gender, language",2,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Girls, language",COL,(T)ERCE,2013,"1,2",6.924386978149414,4,4,"Gender, language",2,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2013,"Boys, mathematics",CRI,(T)ERCE,2013,"1,2",6.53474235534668,1,1,"Gender, mathematics",1,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2013,"Girls, mathematics",CRI,(T)ERCE,2013,"1,2",7.951090335845947,2,2,"Gender, mathematics",1,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2013,"Boys, language",CRI,(T)ERCE,2013,"1,2",1.352185130119324,3,3,"Gender, language",2,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2013,"Girls, language",CRI,(T)ERCE,2013,"1,2",11.10410594940186,4,4,"Gender, language",2,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2013,"Boys, mathematics",DOM,(T)ERCE,2013,"1,2",11.18814277648926,1,1,"Gender, mathematics",1,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
